id	name	alt_accession	tax_id	pathways	aliases	topology
154	Uniprot:A0A0X1KG69		taxid:9606			
155	Uniprot:P01137		taxid:9606	Receptor tyrosine kinase|TGF		Ligand
156	Uniprot:Q96PG8		taxid:9606			
157	Uniprot:Q86Y01		taxid:9606	Notch		Co-factor|Endocytosis related|Scaffold
158	Uniprot:P51668		taxid:9606			
159	Uniprot:P62837		taxid:9606			
160	Uniprot:O43623		taxid:9606			
161	Uniprot:P37275		taxid:9606			
162	Uniprot:P25791		taxid:9606			
163	Uniprot:O95863		taxid:9606			
164	Uniprot:P08047		taxid:9606			
165	Uniprot:P46531		taxid:9606	Notch|WNT/Wingless		Endocytosis related|Receptor
166	Uniprot:A0A0D9SF76		taxid:9606			
167	Uniprot:A0A087WXH5		taxid:9606			
168	Uniprot:G3V433		taxid:9606			
169	Uniprot:Q9UJU2		taxid:9606	WNT/Wingless		Transcription factor
170	Uniprot:O15169		taxid:9606	Receptor tyrosine kinase|TGF|WNT/Wingless		Mediator|Scaffold
171	Uniprot:U3KQ33		taxid:9606			
172	Uniprot:E7ES00		taxid:9606			
173	Uniprot:P04628		taxid:9606	WNT/Wingless		Ligand
174	Uniprot:P56703		taxid:9606			
175	Uniprot:A0A087WVR4		taxid:9606	Receptor tyrosine kinase		
176	Uniprot:Q9NPB6		taxid:9606	TGF		Co-factor
177	Uniprot:F5H7J9		taxid:9606			
178	Uniprot:P04049		taxid:9606	Innate immune pathways|Receptor tyrosine kinase		Mediator|Scaffold
179	Uniprot:A0A0J9YWZ2		taxid:9606			
180	Uniprot:P10415		taxid:9606	Receptor tyrosine kinase|TNF pathway		
181	Uniprot:Q07812		taxid:9606	Receptor tyrosine kinase		
182	Uniprot:Q16611		taxid:9606			
183	Uniprot:B7ZB24		taxid:9606			
184	Uniprot:P08034		taxid:9606			
185	Uniprot:P17302		taxid:9606			Scaffold
186	Uniprot:P62745		taxid:9606			
187	Uniprot:A0A0J9YXG8		taxid:9606			
188	Uniprot:P13612		taxid:9606			
